,ID,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Seats,Price,Engine_Number,Power_Number
0,0,2010,72000,1,1,1,0.793082886106142,5.0,1.75,998,0.04556865728413845
1,1,2015,41000,2,1,1,0.24934690632365053,5.0,12.5,1582,0.17497147204260177
2,2,2011,46000,3,1,1,0.2307124400147656,5.0,4.5,1199,0.10365157854697603
3,3,2012,87000,2,1,1,0.2632910647860814,7.0,6.0,1248,0.10376569037656903
4,4,2013,40670,2,2,2,0.19268291693540862,5.0,17.74,1968,0.20273868391023203
5,5,2012,75000,4,1,1,0.6290995825879547,5.0,2.35,814,0.03993914035755039
6,6,2013,86999,2,1,1,0.29257379755718627,5.0,3.5,1461,0.05496386458729555
7,7,2016,36000,2,2,1,0.1440051273938317,8.0,17.5,2755,0.2611259033853176
8,8,2013,64430,2,1,1,0.26037546801666406,5.0,5.2,1598,0.1319893495625713
9,9,2012,65932,2,1,2,0.2826861215565535,5.0,1.95,1248,0.07569418029669074
10,10,2018,25692,3,1,1,0.2733055058636454,5.0,9.95,1462,0.1313236972232788
11,11,2012,60000,3,2,1,0.21296532924439904,5.0,4.49,1497,0.15614302015975656
12,12,2015,64424,2,1,1,0.3194479938665985,5.0,5.6,1248,0.07569418029669074
13,13,2014,72000,2,2,1,0.16099164770261115,5.0,27.0,2179,0.2919360973754279
14,14,2012,85000,2,2,2,0.0,5.0,17.5,2179,0.1536705971852415
15,15,2014,110000,2,1,1,0.17113285385710636,7.0,15.0,2477,0.2688474705211107
16,16,2016,58950,2,1,1,0.3270538984824699,5.0,5.4,1498,0.12248003042982121
17,17,2017,25000,2,1,1,0.3600128184845793,5.0,5.99,1248,0.07569418029669074
18,18,2014,77469,2,1,1,0.2592345823242833,5.0,6.34,1461,0.09433244579688092
19,19,2014,78500,2,2,1,0.1881193741658858,5.0,28.0,2143,0.25374667173830356
20,20,2014,32982,2,2,1,0.2876299595568699,5.0,18.55,1995,0.29631038417649297
21,21,2015,55392,2,1,2,0.2997994069422641,5.0,8.25,1248,0.10327120578166603
22,22,2015,55985,3,2,1,0.1715131490878999,5.0,23.5,1984,0.2716051730696082
23,23,2010,45807,3,1,1,0.2345153923227013,5.0,1.87,1197,0.08710536325599087
24,24,2010,33000,3,2,1,0.18254171078091344,5.0,2.85,1598,0.1319893495625713
25,25,2012,51920,3,1,1,0.21296532924439904,5.0,4.25,1497,0.15614302015975656
26,26,2012,54000,2,1,1,0.29257379755718627,5.0,4.25,1461,0.05496386458729555
27,27,2013,54000,3,1,2,0.2651925409400493,5.0,2.75,998,0.06257131989349561
28,28,2018,37430,3,1,1,0.22183888462958232,5.0,9.9,1199,0.10365157854697603
29,29,2007,262000,2,1,4,0.16225929847192308,7.0,4.0,2494,0.1289463674400913
30,30,2013,62000,2,1,1,0.24098041124619202,5.0,7.75,1461,0.1412133891213389
31,31,2012,87615,3,1,1,0.1841896567810189,5.0,6.75,1798,0.19760365157854698
32,32,2013,72000,2,2,2,0.1417233560090703,7.0,12.5,2696,0.28489920121719287
33,33,2010,35000,2,2,1,0.15718869539467548,5.0,11.5,2698,0.27634081399771776
34,34,2014,55431,3,1,2,0.20396500878228455,5.0,6.98,1598,0.1317991631799163
35,35,2009,83816,3,1,2,0.17747110770366586,5.0,1.85,1061,0.05667554203119056
36,36,2018,50075,2,1,1,0.30803913694279145,5.0,8.63,1248,0.10327120578166603
37,37,2017,52000,3,1,1,0.23007861463010965,5.0,4.85,1198,0.0909090909090909
38,38,2013,85000,2,2,1,0.14882220031721693,5.0,28.0,2987,0.4195511601369342
39,39,2013,62000,2,1,1,0.2797705247871361,5.0,5.0,1199,0.07550399391403577
40,40,2008,90000,3,1,2,0.24972720155444408,5.0,1.25,796,0.02301255230125522
41,41,2014,19698,3,1,1,0.3219832954052223,4.0,1.53,624,0.006276150627615051
