,ID,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Seats,Price,Engine_Number,Power_Number
0,0,2010,72000,1,1,1,62.5632,5.0,1.75,998,58.16
1,1,2015,41000,2,1,1,19.67,5.0,12.5,1582,126.2
2,2,2011,46000,3,1,1,18.2,5.0,4.5,1199,88.7
3,3,2012,87000,2,1,1,20.77,7.0,6.0,1248,88.76
4,4,2013,40670,2,2,2,15.2,5.0,17.74,1968,140.8
5,5,2012,75000,4,1,1,49.6272,5.0,2.35,814,55.2
6,6,2013,86999,2,1,1,23.08,5.0,3.5,1461,63.1
7,7,2016,36000,2,2,1,11.36,8.0,17.5,2755,171.5
8,8,2013,64430,2,1,1,20.54,5.0,5.2,1598,103.6
9,9,2012,65932,2,1,2,22.3,5.0,1.95,1248,74.0
10,10,2018,25692,3,1,1,21.56,5.0,9.95,1462,103.25
11,11,2012,60000,3,2,1,16.8,5.0,4.49,1497,116.3
12,12,2015,64424,2,1,1,25.2,5.0,5.6,1248,74.0
13,13,2014,72000,2,2,1,12.7,5.0,27.0,2179,187.7
14,14,2012,85000,2,2,2,0.0,5.0,17.5,2179,115.0
15,15,2014,110000,2,1,1,13.5,7.0,15.0,2477,175.56
16,16,2016,58950,2,1,1,25.8,5.0,5.4,1498,98.6
17,17,2017,25000,2,1,1,28.4,5.0,5.99,1248,74.0
18,18,2014,77469,2,1,1,20.45,5.0,6.34,1461,83.8
19,19,2014,78500,2,2,1,14.84,5.0,28.0,2143,167.62
20,20,2014,32982,2,2,1,22.69,5.0,18.55,1995,190.0
21,21,2015,55392,2,1,2,23.65,5.0,8.25,1248,88.5
22,22,2015,55985,3,2,1,13.53,5.0,23.5,1984,177.01
23,23,2010,45807,3,1,1,18.5,5.0,1.87,1197,80.0
24,24,2010,33000,3,2,1,14.4,5.0,2.85,1598,103.6
25,25,2012,51920,3,1,1,16.8,5.0,4.25,1497,116.3
26,26,2012,54000,2,1,1,23.08,5.0,4.25,1461,63.1
27,27,2013,54000,3,1,2,20.92,5.0,2.75,998,67.1
28,28,2018,37430,3,1,1,17.5,5.0,9.9,1199,88.7
29,29,2007,262000,2,1,4,12.8,7.0,4.0,2494,102.0
30,30,2013,62000,2,1,1,19.01,5.0,7.75,1461,108.45
31,31,2012,87615,3,1,1,14.53,5.0,6.75,1798,138.1
32,32,2013,72000,2,2,2,11.18,7.0,12.5,2696,184.0
33,33,2010,35000,2,2,1,12.4,5.0,11.5,2698,179.5
34,34,2014,55431,3,1,2,16.09,5.0,6.98,1598,103.5
35,35,2009,83816,3,1,2,14.0,5.0,1.85,1061,64.0
36,36,2018,50075,2,1,1,24.3,5.0,8.63,1248,88.5
37,37,2017,52000,3,1,1,18.15,5.0,4.85,1198,82.0
38,38,2013,85000,2,2,1,11.74,5.0,28.0,2987,254.8
39,39,2013,62000,2,1,1,22.07,5.0,5.0,1199,73.9
40,40,2008,90000,3,1,2,19.7,5.0,1.25,796,46.3
41,41,2014,19698,3,1,1,25.4,4.0,1.53,624,37.5
42,42,2017,22033,2,1,1,25.32,6.0,5.58,1198,77.0
43,43,2014,35487,3,1,1,18.5,5.0,4.74,1197,82.9
44,44,2014,46374,3,2,1,14.62,5.0,8.85,1999,149.92
45,45,2016,52001,3,2,1,14.28,5.0,10.11,1798,138.03
46,46,2008,58005,2,1,2,14.9,5.0,4.25,1991,112.2
47,47,2012,70704,3,1,1,11.25,7.0,10.95,2694,163.7
48,48,2014,75000,2,1,1,24.4,5.0,3.85,1120,71.0
49,49,2012,75800,2,1,2,16.55,6.0,5.5,2498,105.0
50,50,2015,13648,2,2,1,17.11,5.0,21.43,1968,174.33
51,51,2014,52000,2,1,1,22.9,5.0,4.25,1248,74.0
52,52,2014,53000,2,1,1,17.8,5.0,3.3,1248,75.0
53,53,2013,65650,2,1,1,28.4,5.0,3.85,1248,74.0
54,54,2015,54000,3,1,3,18.9,5.0,3.6,1197,82.0
55,55,2015,39000,3,1,1,15.04,5.0,3.99,1598,103.2
56,56,2017,16542,3,1,1,25.17,5.0,3.3,799,53.3
57,57,2010,32000,3,1,1,20.36,5.0,2.07,1197,78.9
58,58,2010,121812,2,2,1,13.29,5.0,7.75,1995,147.6
59,59,2010,39300,3,1,1,18.2,5.0,2.25,998,67.1
60,60,2017,22000,2,1,1,13.68,8.0,16.5,2393,147.8
61,61,2010,72000,2,1,1,20.0,5.0,2.75,1399,68.0
62,62,2015,58000,3,2,1,11.74,5.0,26.7,1796,186.0
63,63,2011,65000,2,1,2,15.8,5.0,10.0,2148,170.0
64,64,2016,178000,2,1,1,25.0,5.0,2.5,1396,69.0
65,65,2012,65664,2,2,1,16.55,5.0,13.5,1968,140.0
66,66,2007,63000,3,2,2,16.4,5.0,1.85,1497,78.0
67,67,2019,15369,2,2,1,0.0,5.0,35.67,1950,194.0
68,68,2016,63000,2,1,1,24.52,7.0,8.15,1248,88.5
69,69,2018,13000,2,1,1,22.1,5.0,10.5,1396,88.7
70,70,2008,73000,3,2,1,8.5,5.0,14.5,4806,500.0
71,71,2015,55729,2,1,1,15.1,7.0,9.65,2179,140.0
72,72,2012,45178,3,2,1,16.95,5.0,3.48,1197,78.9
73,73,2015,56066,2,1,1,19.64,5.0,6.92,1461,108.5
74,74,2016,37300,3,2,2,16.5,5.0,6.46,1198,86.8
75,75,2014,56000,2,2,2,18.53,5.0,29.5,1968,187.74
76,76,2008,111111,2,1,1,17.8,5.0,2.0,1399,113.27689373297004
77,77,2006,230000,3,1,3,12.4,8.0,4.5,1998,132.0
78,78,2012,104000,2,1,1,12.8,7.0,11.75,2494,102.0
79,79,2005,87591,3,1,1,0.0,5.0,1.3,1086,113.27689373297004
80,80,2012,95100,2,1,1,22.9,5.0,3.75,1248,74.0
81,81,2017,70000,3,1,1,17.57,5.0,4.5,1193,88.7
82,82,2016,54944,3,1,1,18.0,5.0,4.82,1198,86.7
83,83,2012,70337,2,1,1,20.0,5.0,2.8,1399,68.0
84,84,2013,99638,2,1,1,23.2,5.0,3.11,1248,73.94
85,85,2009,52000,3,1,1,17.8,5.0,3.25,1497,117.3
86,86,2011,75000,2,2,2,16.73,5.0,13.9,1995,218.0
87,87,2009,95980,3,1,1,20.36,5.0,2.25,1197,78.9
88,88,2016,16000,3,1,1,18.9,5.0,5.75,1197,82.0
89,89,2007,73745,3,1,1,17.0,5.0,2.1,1086,113.27689373297004
90,90,2016,18949,3,1,1,17.8,5.0,5.0,1198,86.7
91,91,2014,107000,2,1,1,13.0,7.0,16.5,2982,168.5
92,92,2018,48367,2,2,1,17.68,5.0,39.58,1968,174.33
93,93,2013,57000,2,1,1,22.7,5.0,5.5,1498,89.84
94,94,2014,58000,2,1,1,15.1,7.0,8.1,2179,140.0
95,95,2015,30000,2,1,1,25.8,5.0,3.5,1498,98.6
96,96,2013,34212,2,1,1,22.07,5.0,2.79,1199,73.9
97,97,2010,70002,2,1,1,16.2,5.0,3.45,1493,110.0
98,98,2016,62000,3,1,1,18.9,5.0,4.45,998,67.1
99,99,2010,62001,3,1,1,15.26,5.0,2.65,1598,103.5
100,100,2011,78958,2,1,2,23.0,5.0,3.8,1396,90.0
101,101,2014,30180,3,1,1,18.5,5.0,4.65,1197,82.85
102,102,2017,32851,3,1,1,19.83,7.0,3.95,1198,67.0
103,103,2010,30000,2,2,1,14.94,5.0,9.8,2967,241.4
104,104,2009,66000,3,1,2,17.0,5.0,2.7,1197,80.0
105,105,2010,93850,3,1,1,14.0,5.0,2.41,796,35.0
106,106,2014,53000,3,1,1,17.71,5.0,3.9,1197,78.9
107,107,2011,78000,2,2,2,14.74,5.0,24.0,2993,270.9
108,108,2012,65000,2,1,2,16.0,7.0,5.75,2179,140.0
109,109,2014,40000,2,2,1,22.32,5.0,5.25,1582,126.32
110,110,2017,30000,2,2,1,11.36,7.0,19.25,2755,171.5
111,111,2017,38053,3,1,1,15.1,5.0,3.91,1196,73.0
112,112,2014,25500,3,1,1,25.4,4.0,2.15,624,37.5
113,113,2015,56087,2,2,1,22.69,5.0,20.75,1995,190.0
114,114,2010,71088,3,1,1,13.5,5.0,3.35,1799,130.0
115,115,2014,55000,2,1,1,12.99,7.0,11.11,2494,100.6
116,116,2014,32700,2,2,1,23.3,5.0,20.0,1984,150.0
117,117,2016,39882,3,2,1,19.15,5.0,6.55,1198,75.94
118,118,2009,128000,3,2,1,10.8,5.0,7.0,2497,215.0
119,119,2016,55000,2,1,1,24.3,5.0,7.5,1248,88.5
120,120,2005,102000,3,1,2,17.0,5.0,0.85,1086,113.27689373297004
121,121,2014,53753,2,2,2,15.0,5.0,16.75,2143,107.3
122,122,2018,10250,2,1,1,22.0,5.0,10.95,1582,126.2
123,123,2011,43874,3,1,1,18.9,5.0,2.45,998,67.1
124,124,2017,32684,3,2,1,21.9,4.0,3.23,624,37.48
125,125,2014,42000,2,1,1,12.05,8.0,7.75,2179,120.0
126,126,2009,28352,3,2,1,11.7,5.0,9.35,1796,178.0
127,127,2013,89900,1,1,1,62.5632,5.0,3.25,998,58.16
128,128,2007,47700,3,1,2,10.8,5.0,5.25,2354,152.0
129,129,2015,55000,2,2,1,21.21,5.0,7.25,1498,103.2
130,130,2017,44285,3,1,1,20.73,5.0,7.47,1373,91.1
131,131,2016,54000,2,2,1,16.0,7.0,13.25,2179,140.0
